cn,dd,gz,jy,name,url,xl
美团点评,上海-长宁区,面议,3年以上,招聘智能监控开发工程师  Java/C++/Python都可,https://www.liepin.com/job/1915145953.shtml,本科及以上
千麦实业(上海)有限公司,上海-南京西路,10-13万,2年以上,招聘python odoo 软件工程师,https://www.liepin.com/job/1915755483.shtml,统招本科
钱咖网络科技(上海)有限公司,上海,18-30万,3年以上,招聘Python开发工程师,https://www.liepin.com/job/1919409589.shtml,本科及以上
深兰科技(上海)有限公司,上海-长宁区,18-34万,3年以上,招聘python全栈工程师,https://www.liepin.com/job/1918932115.shtml,统招本科
触宝科技,上海-漕河泾,33-59万,3年以上,招聘后端开发工程师（Python）,https://www.liepin.com/job/1912489820.shtml,统招本科
虎扑体育,上海-虹口区,18-36万,3年以上,招聘高级Python开发工程师,https://www.liepin.com/job/1915815261.shtml,本科及以上
虎扑体育,上海-虹口区,22-30万,3年以上,招聘python高级开发工程师,https://www.liepin.com/job/1917382969.shtml,本科及以上
阿基米德,上海-虹桥,20-33万,3年以上,招聘python高级大数据开发工程师,https://www.liepin.com/job/198292885.shtml,统招本科
宏路数据Hypers,上海-四平路,8-20万,经验不限,招聘python开发工程师,https://www.liepin.com/job/1914942537.shtml,统招本科
上海银橙文化传媒股份有限公司,上海-徐汇区,18-36万,2年以上,招聘python高级开发工程师( 机器学习方向),https://www.liepin.com/job/1918137055.shtml,本科及以上
平纳科,上海-龙华,30-42万,5年以上,招聘高级java/python/Go,https://www.liepin.com/job/1920139837.shtml,大专及以上
畅圣计算机,上海,12-18万,1年以上,招聘Python开发工程师,https://www.liepin.com/job/1916394945.shtml,大专及以上
聚时科技(上海)有限公司,上海,30-53万,5年以上,招聘高级Python工程师（AI方向）,https://www.liepin.com/job/1914897527.shtml,硕士及以上
上海信医科技有限公司,上海-静安区,12-24万,1年以上,招聘python工程师,https://www.liepin.com/job/1920486937.shtml,本科及以上
上海信医科技有限公司,上海-静安区,22-28万,3年以上,招聘python web后端,https://www.liepin.com/job/1920487555.shtml,本科及以上
3ti solutions,上海-长寿路,22-30万,5年以上,招聘Python高级开发工程师（产品开发）,https://www.liepin.com/job/197566628.shtml,大专及以上
3ti solutions,上海-长寿路,20-33万,3年以上,招聘高级爬虫工程师Python,https://www.liepin.com/job/1912991270.shtml,本科及以上
上海绿谷泰坤堂投资有限公司,上海,18-30万,3年以上,招聘Python工程师,https://www.liepin.com/job/1917848463.shtml,大专及以上
数据交易中心,上海,18-34万,3年以上,招聘python开发工程师,https://www.liepin.com/job/1919485911.shtml,统招本科
天玑科技,上海,18-30万,4年以上,招聘python开发工程师,https://www.liepin.com/job/1920768223.shtml,统招本科
上海国盾量子信息技术有限公司,上海,12-18万,经验不限,招聘python研发工程师（前沿研究院）,https://www.liepin.com/job/1919506751.shtml,统招本科
上海正见文化传播有限公司,上海-徐汇区,13-20万,2年以上,招聘Python开发工程师,https://www.liepin.com/job/1920421687.shtml,本科及以上
上海正见文化传播有限公司,上海-徐汇区,20-33万,5年以上,招聘高级Python开发工程师,https://www.liepin.com/job/1920421609.shtml,本科及以上
杭州玛亚科技有限公司,上海,12-18万,经验不限,招聘Python开发工程师,https://www.liepin.com/job/1918497457.shtml,学历不限
深圳市微友家园科技有限公司,上海-闵行区,面议,3年以上,招聘资深Python工程师职业培训师,https://www.liepin.com/job/1920005093.shtml,大专及以上
小黑鱼科技有限公司,上海-浦东新区,40-48万,3年以上,招聘python全栈开发工程师/测试经理,https://www.liepin.com/job/1920447737.shtml,统招本科
小黑鱼科技有限公司,上海-浦东新区,40-56万,3年以上,招聘python全栈开发工程师/测试架构师,https://www.liepin.com/job/1920363353.shtml,统招本科
北京捷通华声科技股份有限公司,北京-海淀区,12-24万,1年以上,招聘软件测试工程师（C++、java、python）,https://www.liepin.com/job/1919719211.shtml,本科及以上
智线云科技(北京)有限公司,北京-朝阳公园,21-35万,3年以上,招聘 高级Python工程师／爬虫／Spider,https://www.liepin.com/job/1914960871.shtml,统招本科
智线云科技(北京)有限公司,北京-朝阳公园,21-28万,3年以上,招聘高级Java/PHP/Python工程师,https://www.liepin.com/job/1915041892.shtml,统招本科
爱笔(北京)智能科技有限公司,北京-上地,22-43万,3年以上,招聘Python开发工程师,https://www.liepin.com/job/1914991059.shtml,本科及以上
爱笔(北京)智能科技有限公司,北京,面议,1年以上,招聘Python开发运维工程师,https://www.liepin.com/job/1918844479.shtml,学历不限
爱笔(北京)智能科技有限公司,北京,面议,经验不限,招聘Python开发工程师-计算平台 ,https://www.liepin.com/job/1919737631.shtml,学历不限
上海安题可软件科技有限公司,北京-朝阳区,面议,4年以上,"招聘Senior Software Engineer(C/C++, Java, Python)",https://www.liepin.com/job/1918993423.shtml,本科及以上
上海安题可软件科技有限公司,北京-望京,12-24万,1年以上,"招聘Software Engineer(C/C++, Java, Python)",https://www.liepin.com/job/1918993321.shtml,统招本科
e代驾,北京,28-42万,3年以上,招聘BI分析师-R或Python,https://www.liepin.com/job/1916291681.shtml,统招本科
北京轻松筹网络科技有限公司,北京,18-30万,3年以上,招聘python开发工程师（运维方向）-JS,https://www.liepin.com/job/1920660795.shtml,本科及以上
北京探境科技有限公司,北京-知春路,面议,2年以上,招聘Python工程师(深度学习方向),https://www.liepin.com/job/1912622499.shtml,统招本科
北京探境科技有限公司,北京-知春路,面议,3年以上,招聘高级Python&C工程师,https://www.liepin.com/job/1912622419.shtml,统招本科
软通动力技术服务,北京-西北旺,11-22万,1年以上,招聘python开发工程师,https://www.liepin.com/job/1913632846.shtml,统招本科
北京探境科技有限公司,北京-望京,9-18万,经验不限,招聘软件工程师（ Python/Shell/C/C++/JAVA）,https://www.liepin.com/job/1919354043.shtml,本科及以上
乐元素科技(北京)股份有限公司,北京,24-36万,经验不限,招聘python开发工程师,https://www.liepin.com/job/1919446549.shtml,学历不限
首都在线,北京-四季青,18-30万,2年以上,招聘python开发工程师,https://www.liepin.com/job/1914172783.shtml,大专及以上
北京斯普信信息技术有限公司,北京-西客站,12-24万,3年以上,招聘Python工程师,https://www.liepin.com/job/1914279976.shtml,大专及以上
首都在线,北京,18-36万,3年以上,招聘（云计算）python研发工程师,https://www.liepin.com/job/199761075.shtml,本科及以上
首都在线,北京,18-36万,3年以上,招聘python研发工程师(vmware...,https://www.liepin.com/job/199761076.shtml,本科及以上
首都在线,北京,18-36万,3年以上,招聘Python高级工程师,https://www.liepin.com/job/1911156544.shtml,本科及以上
中建材信息技术股份有限公司,北京-海淀区,22-36万,5年以上,招聘后端架构师（Python）,https://www.liepin.com/job/1916299077.shtml,本科及以上
中建材信息技术股份有限公司,北京-海淀区,22-36万,5年以上,招聘后端架构师(Python，Nodejs),https://www.liepin.com/job/1916215733.shtml,本科及以上
中建材信息技术股份有限公司,北京-海淀区,18-30万,4年以上,招聘后端高级工程师（Python）,https://www.liepin.com/job/1916299345.shtml,本科及以上
杭州玛亚科技有限公司,北京,12-18万,经验不限,招聘Python开发工程师,https://www.liepin.com/job/1918497455.shtml,学历不限
深圳市微友家园科技有限公司,北京-海淀区,面议,3年以上,招聘资深Python工程师职业培训师,https://www.liepin.com/job/1920005095.shtml,大专及以上
神州泰岳软件北京,北京,18-30万,5年以上,招聘Python开发工程师-鼎富科技-产品部,https://www.liepin.com/job/1920850855.shtml,本科及以上
三七互娱,广州,面议,2年以上,招聘python开发,https://www.liepin.com/job/1919553475.shtml,本科及以上
Fordeal,广州-新港,30-60万,3年以上,招聘资深Python爬虫工程师,https://www.liepin.com/job/1919224653.shtml,统招本科
Fordeal,广州-海珠区,18-36万,1年以上,招聘Python爬虫工程师,https://www.liepin.com/job/1919224683.shtml,统招本科
某知名AI创业公司,上海,30-60万,3年以上,招聘Python开发工程师-上海,https://www.liepin.com/a/14177899.shtml,统招本科
某大型企业,上海,49-70万,3年以上,招聘Python工程师,https://www.liepin.com/a/15186589.shtml,统招本科
知名互联网兴趣社交,上海-静安区,35-63万,3年以上,招聘 后端开发工程师（java/python语言不限）,https://www.liepin.com/a/14853247.shtml,统招本科
全球知名垂直搜索引擎企业,上海-长宁区,47-72万,8年以上,招聘Sr Software Engineer（NLP & Python）,https://www.liepin.com/a/14959305.shtml,统招本科
上海某互联网教育公司,上海,28-49万,4年以上,招聘Python开发工程师,https://www.liepin.com/a/14454721.shtml,本科及以上
上海某科技有限公司,"上海,江苏",18-36万,2年以上,招聘python开发,https://www.liepin.com/a/14966143.shtml,统招本科
国企技术公司,北京,42-70万,7年以上,招聘资深python,https://www.liepin.com/a/14908181.shtml,统招本科
国内知名AI独角兽企业,北京,36-60万,3年以上,招聘核心研发工程师（C/C++/Golang/Python）,https://www.liepin.com/a/14794673.shtml,本科及以上
全球某知名移动应用开发商,北京,22-30万,3年以上,招聘Python 开发工程师,https://www.liepin.com/a/15289851.shtml,统招本科
某通信科技公司,"北京,重庆",36-60万,5年以上,招聘web服务器架构师（Python方向）,https://www.liepin.com/a/15110361.shtml,学历不限
某大型IT/互联网公司,北京-昌平区,23-45万,3年以上,招聘python开发工程师,https://www.liepin.com/a/14432247.shtml,统招本科
国内某知名互联网公司,北京-海淀区,45-75万,5年以上,招聘Python开发工程师,https://www.liepin.com/a/15089955.shtml,本科及以上
某知名互联网券商,北京-朝阳区,28-56万,5年以上,招聘python开发工程师,https://www.liepin.com/a/15351567.shtml,统招本科
某知名准上市移动互联网公司,北京,36-60万,3年以上,招聘服务端开发工程师（C++/python/Go）,https://www.liepin.com/a/14846985.shtml,本科及以上
北京知名互联网公司,北京,25-35万,3年以上,招聘 Python工程师,https://www.liepin.com/a/15279525.shtml,统招本科
知名安全可控操作系统公司,北京-海淀区,30-44万,2年以上,招聘资深后台python开发工程师,https://www.liepin.com/a/15139999.shtml,统招本科
知名大数据分析、数字营销上市公司,北京,42-56万,4年以上,招聘资深python,https://www.liepin.com/a/14739217.shtml,统招本科
某互联网企业,北京,33-65万,3年以上,招聘资深python研发工程师,https://www.liepin.com/a/14803951.shtml,统招本科
国内知名AI领域头部公司,北京-海淀区,28-56万,2年以上,招聘Python工程师,https://www.liepin.com/a/14357671.shtml,统招本科
某国企公司,北京,30-30万,4年以上,招聘Python运维开发工程师,https://www.liepin.com/a/15075501.shtml,本科及以上
某知名移动社交APP,北京,40-72万,3年以上,招聘Python开发工程师,https://www.liepin.com/a/12212033.shtml,统招本科
纳斯达克上市证券公司,北京,46-85万,3年以上,招聘Python高级开发工程师,https://www.liepin.com/a/14801831.shtml,统招本科
江苏某大型工业机械及互联网软件开发集团,北京,36-60万,5年以上,招聘Python后端开发工程师,https://www.liepin.com/a/15296597.shtml,本科及以上
某传统金融机构,北京-西城区,36-60万,3年以上,招聘Python研发工程师,https://www.liepin.com/a/14378293.shtml,本科及以上
北京某科技有限公司,北京,30-42万,3年以上,招聘python,https://www.liepin.com/a/15076999.shtml,学历不限
某知名移动应用开发商,北京-海淀区,28-42万,3年以上,招聘Python,https://www.liepin.com/a/15324791.shtml,统招本科
某知名咨询公司,北京,20-39万,3年以上,招聘 Python PL/SQL,https://www.liepin.com/a/14552213.shtml,学历不限
国内互联网,"日本,北京,辽宁",24-48万,1年以上,招聘赴日Python开发工程师,https://www.liepin.com/a/14275373.shtml,大专及以上
知名咨询公司,北京,20-39万,3年以上,招聘Python或者PL/SQL,https://www.liepin.com/a/14518173.shtml,学历不限
全国知名AI公司,北京,40-60万,2年以上,招聘高级python开发工程师,https://www.liepin.com/a/14516165.shtml,统招本科
乙方外企咨询公司,北京,20-33万,3年以上,招聘Python或者PL/SQL,https://www.liepin.com/a/14517965.shtml,学历不限
某互联网公司,北京,24-48万,1年以上,招聘Python,https://www.liepin.com/a/15091197.shtml,学历不限
知名网络安全企业,北京,21-28万,5年以上,招聘python高工,https://www.liepin.com/a/14009209.shtml,统招本科
国内某知名IT公司,北京-海淀区,21-35万,5年以上,招聘 Python架构师,https://www.liepin.com/a/14616301.shtml,统招本科
某知名互联网金融企业,北京-海淀区,45-75万,5年以上,招聘高级Python研发工程师,https://www.liepin.com/a/14120003.shtml,学历不限
杭州慧川智能科技有限公司,杭州-西溪,12-36万,3年以上,招聘Python高级开发,https://www.liepin.com/job/1916797695.shtml,大专及以上
麦苗网络技术杭州,杭州-西湖区,12-18万,1年以上,招聘python后端开发工程师,https://www.liepin.com/job/1919200329.shtml,本科及以上
个推,杭州-西湖区,面议,3年以上,招聘中高级运维开发工程师（python）,https://www.liepin.com/job/1916822767.shtml,本科及以上
