Id,PostId,RecruitPostId,RecruitPostName,CountryName,LocationName,BGName,ProductName,CategoryName,Responsibility,LastUpdateTime,PostURL,SourceID,IsCollect,IsValid
0,1134020938845655040,50726,30359-视频安全数据分析工程师（北京）,中国,北京,PCG,腾讯视频,技术,负责视频安全业务相关数据统计、分析、挖掘工作； 通过用户行为数据建模、分析用户特征等，为业务决策提供参考。,2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1134020938845655040,1,False,False
0,1123176119038644224,46550,22989-大数据AI综合应用后台开发工程师,中国,北京,CSIG,,技术,负责AI平台和相关行业应用产品的后台研发。,2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1123176119038644224,1,False,False
0,1135370105044078592,50790,S2-税务经理（深圳）,中国,深圳,S2,,财务,"1、日常税务申报及税局外勤
2、税局日常事务应对
3、涉税相关数据的分析研究
4、相关税务政策或规划的落地执行",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1135370105044078592,1,False,False
0,1128194530839891968,50320,22989-WEB后台高级开发工程师,中国,深圳,CSIG,,技术,"1. 负责部门WEB项目的前后端开发，重点是WEB后台开发；
2. 负责部门内部运营平台的开发与运营
3. 负责部门产品云接口的开发与运营",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1128194530839891968,1,False,False
0,1128194529002786816,50318,22989-音视频后台高级开发工程师,中国,深圳,CSIG,腾讯云,技术,"负责实时音视频通信后台开发、研发、运营，主要包括： 
1. 负责音视频云通讯的后台需求设计与开发； 
2. 负责新的音视频产品后台设计与开发； 
3. 负责音视频的架构优化重构, 以及下一代音视频后台的技术研究； 
4. 负责GME全球游戏语音引擎传输后台设计与开发; 
5. 负责保障实时音视频通信系统的稳定运营;",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1128194529002786816,1,False,False
Id,PostId,RecruitPostId,RecruitPostName,CountryName,LocationName,BGName,ProductName,CategoryName,Responsibility,LastUpdateTime,PostURL,SourceID,IsCollect,IsValid
0,1139360755770986496,51064,30359-视频业务运维工程师（天津）,中国,天津,PCG,腾讯视频,技术,"负责腾讯视频相关业务的故障处理等日常运维工作，保障业务稳定性；
负责腾讯视频相关业务的预算、运营规划；
负责腾讯视频相关业务数据分析，并驱动架构、成本等方向的优化工作。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1139360755770986496,1,False,False
0,1130804095775412224,50533,PCG19-知识图谱开发工程师,中国,北京,PCG,,技术,"1. 知识图谱的知识体系建设
2. 图谱知识的挖掘与整理
3. 图谱相关领域的实体链接算法
4. 搜索语义的解析",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1130804095775412224,1,False,False
0,1130804184187146240,50534,PCG19-腾讯视频机器学习算法工程师（北京）,中国,北京,PCG,腾讯视频,技术,"负责搜索排序点击率预估模型算法研发
负责排序相关深度学习模型研发",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1130804184187146240,1,False,False
0,1139375029008470016,51078,23295-互娱游戏传播经理（深圳）,中国,深圳,IEG,,营销与公关,"负责腾讯游戏最新各品类的游戏公关传播策略的制定、统筹各阶段传播执行；
独立全程各个阶段的传播工作；
重要节点与重大公关事件的传播筹备、产品发布会的传播执行，跨部门协同沟通；
重点策划与执行助力游戏产品的社会化传播病毒事件、热点话题、PGC与OGC生态的构建与持续培养；
注重对目标用户圈层的渗透与占领，圈层打透与外扩；
多维度统筹与跟进传播效果。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
